"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t27","t28","t29","t30","t31","t32","t33","t34","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54"
5.31977001929517,4.20986901071736,3.90275953385341,5.0220430219731,3.47686414080761,2.57231443822858,2.39529736313146,2.30604464878848,2.69656141513491,3.63773316196144,4.25901611477031,2.62948784146311,1.66015296934909,1.91460517477374,1.81205849522816,1.74746734150864,2.4688614128227,3.11044924625094,5.34600359409604,3.63292685475281,2.76323920207806,2.1555294967636,2.03220600796448,1.730971276302,1.82041483969725,2.94219950580186,4.34840509772958,3.08615124188133,3.12522920861795,2.3399065227543,1.75056439391401,1.6985230929162,1.77622904734432,3.41350392668666,3.5677057083632,2.91803364339574,2.24351638622514,1.9994195241649,1.91054673937827,2.03447685249297,2.24373379437318,3.49059008860323,3.49737280869628,2.37543254450111,2.63261039935888,1.67398497121339,1.8821762321153,2.83216588775404,3.84943189172773,3.00557043178481,2.58604274508199,2.59295338162633
-23.940122309396,-26.2250363926391,-27.3543543027746,-26.9318644695115,-13.5835790216987,-12.268438121372,-14.3485949463304,-17.5395501702463,-15.2348845018741,-20.0183547502323,-8.12519313880581,-3.44126470138499,-2.71934162992767,-6.35734640662632,-11.9341271386994,-7.95060464726169,-9.03948305198632,-12.4074747397694,-3.79800014021257,-3.3840395079643,-2.41719544037685,-2.4194515953628,-2.42381016212238,-3.41061078260827,-3.80051376285208,-4.43507849482062,-3.39080521211837,-1.57766932627392,-1.27474703636033,-1.44096584534169,-2.57710698156786,-3.34832983792277,-1.70157701042216,-4.20780682121753,-2.61315804930208,-1.18977754933875,-0.3874091042923,-1.65119257652494,-2.12749293780167,-2.2672148732232,-2.09546450158092,-3.21758465853271,-1.72700475631611,-0.650387435092099,-1.2388537904274,-1.69185801068027,-1.69331313185103,-1.82514376400541,-0.764560446618562,-1.25384516343204,-1.72098893117219,-2.21551610005411
-6.66153558466894,-4.45968734134331,-0.349259399284985,2.08934049405641,-13.1488266504774,-5.10435609939232,-3.732610391455,-1.88855297771643,0.479217993295003,2.05867145161991,-21.6071101032297,-15.0016726988407,-8.85047226291663,-7.28984844952939,-3.62588196947259,-0.29983281537521,1.56174868562752,-0.0528161513936078,-27.5384571035706,-20.8706047460732,-17.5108959699283,-14.5516714889249,-2.5187765063028,-0.403177323259088,0.168075447607314,1.76053215678182,-10.0775004989777,-3.75018962728298,0.269642096044191,-0.469834027658279,-0.697178759771786,-2.01542223799532,-2.43918044588318,1.07380927580064,-1.14615405252458,0.850276968838982,-0.318204383905,0.725798210136356,-0.947391521625836,-0.301463546006911,0.308573971450835,0.0475161837951239,1.73747197653994,0.658302712408576,0.473579993787549,-0.315580033433005,0.947307390587958,0.209315474343123,-1.03110735258496,0.488414485679173,-0.458158091262098,-0.390791902187821
-1.62063724822574,-1.28983370573909,-0.286499967546892,-0.908214653909365,-0.550622878192704,-0.0859774511952649,-0.534921545873744,-1.35406392946303,-0.200490998249373,-1.41852340913084,-1.42690915472706,-1.21337538131712,-0.499617753442069,-1.18804095634014,-1.69379498202027,-1.63464742360665,-2.1060432638546,-19.0620928857783,1.22433967645627,-0.52416517436077,-1.11384299172679,-0.332161163569751,-2.87178600689207,-0.762529154665312,-1.91459708405788,-31.1811909197613,-3.884387696672,-3.52217727389153,-1.33415985180949,-0.930538903523046,-1.66067746835791,-1.77780660567337,-2.6462015675474,-31.7250003448789,-3.08018092804695,-0.779854277748419,-0.0596537142913984,-0.810787615901905,-2.55736229162886,-1.85382097859558,-2.6421011450262,-23.1528825425576,-2.62025602434043,-1.4965894650445,-2.01934796764487,-0.714769658853987,-0.481568947227323,-4.80259254321223,-1.20970530609369,-2.90341927861083,-2.42423324809676,-3.17490784641321
-2.32261472288175,-2.74252089226852,-4.17548840921028,-3.48317992229451,-2.43894992363657,-1.67383570903341,-1.87242828757459,-3.34112631017276,-1.09111108601428,-0.920116387908282,-2.21161820607559,-1.93240055306569,-1.85561324328135,-2.96576152684464,-3.47824376675524,-1.71206873883245,-1.43789400706673,-1.62581008008742,-14.1903501467411,-9.77495541907685,-3.2806408643576,-3.19569878751381,-6.23405383227789,-3.14277520876924,-3.76007822129563,-2.37286268462253,-29.4136273201898,-31.0043396780008,-30.1999220645147,-12.4082696261969,-3.53765673121782,-3.11435138816098,-5.16138847944693,-1.8362407639931,-30.8017094152414,-21.7642040896892,-14.7908539084698,-4.52862889981359,-3.94013146948645,-4.18833779018377,-0.572124971890731,-0.250977436480597,-14.603773487417,-7.22397898491424,-4.7138233753519,-2.38986843544444,-0.82794708141157,-0.552663111968421,-7.68283650022807,-5.60499507379895,-1.58583539182667,-1.11813033840973
-30.9967807777464,-30.922536950933,-30.9967583462804,-30.0768026136806,-31.5436850823257,-32.8526914590844,-32.9669587696815,-32.9036813891433,-32.3645588265328,-30.4740819650856,-29.5365268994747,-33.9041545048844,-34.9595181719637,-35.0362592360343,-34.7043383039635,-33.798428163019,-32.8799260231834,-28.4132808895335,-29.212450973622,-32.4148381534455,-34.9042279208878,-35.7811399788589,-34.8969659894967,-28.8860469811246,-30.6857778330981,-27.5656590509354,-29.068623342688,-33.1215176039678,-35.0603906167412,-33.1538215719461,-25.4240978725042,-19.7800785361426,-20.8753461222281,-23.8107082659066,-31.3762698211905,-33.4253710284278,-35.3672830583052,-34.7315910558947,-35.3951316543503,-33.811706627232,-30.1765270485281,-27.8553565729731,-33.2100951051591,-33.8332751701207,-33.9439988796443,-34.3774019674773,-33.5986504088652,-31.6404260926608,-30.0465473162715,-31.8016202706796,-33.5712012055042,-31.7736143700058
-4.95675979154152,-5.86012902596365,-6.50735346974101,-4.42337953650888,-5.69356877118281,-4.63561573347673,-5.17102329041099,-6.62848671302026,-4.03846175945942,-4.62034971328753,-8.04973015147542,-4.52611178748741,-6.79379333982882,-8.15365125155143,-9.965371349012,-7.5391770216656,-5.18459885926986,-3.64255770732793,-12.743638752601,-14.2057986290403,-9.13117272191774,-11.4871029942693,-23.6139095099822,-27.7844896803018,-21.0301191502739,-3.84709064602279,-11.8289749945078,-11.8246606049641,-13.6085563706588,-20.984799712067,-33.8092461445715,-34.9045714586697,-32.7381214689943,-2.98495257843607,-14.1418577623147,-14.2293245258614,-16.2423023252888,-24.6763900913331,-25.321355518869,-14.0090029489306,-5.15140086688101,-3.59198227550228,-9.68930355233173,-6.69041212908571,-8.50571906237566,-8.6287107080388,-6.25849128555837,-5.08406833442173,-2.67573449294836,-4.98528426618515,-6.20282839499589,-5.3918497735195
-29.3613183195205,-29.1609102876548,-28.3995244364057,-27.0231486886902,-31.3760155982519,-31.8624529968556,-32.3681169088818,-30.4898850900863,-31.1706581328026,-23.1848168202628,-31.3566875272358,-32.6118976213879,-34.1747677004559,-34.3176102394664,-33.9533372534161,-32.7573836957629,-27.9369001628956,-12.0051053407685,-29.3495846906356,-31.4331447966385,-33.3179916454767,-34.6892607821399,-30.6514271163103,-19.516505362838,-26.0986824402393,-8.12561188264415,-8.61057185769561,-7.13328730551071,-3.90114318422819,-3.99215801187595,-3.0656723473573,-1.98025695547606,-3.37379319471307,-3.87261999482046,-2.56555545776476,-1.51684823217872,-2.21308389094087,-2.82801041106227,-2.40629632419409,-2.19925949433135,-1.67489238708456,-2.34253201591147,-1.59678200786578,-0.673246660370971,-2.296778183757,-2.89007189719333,-2.07771919590866,-2.89731424412641,-2.24862694253482,-2.01917497575734,-2.81996447491069,-2.99696949725229
0.356726491379565,-1.00454539209535,-1.09297068134169,-1.87642091606854,0.991182214922793,0.0828988310008736,-0.0829196464579152,-0.785578383807995,0.269419513764733,-1.15126905344518,-2.61607506095378,-0.870696896978583,-0.623292954011555,-1.32717697441821,-3.00264336173065,-1.1885857060318,-0.061506581577575,-0.0672302078537577,-5.80947841687069,-1.7806166838146,-3.76006247772387,-4.61212906252215,-1.27996626975735,0.623960623707896,-1.18475645358584,-2.51395024023089,-3.58858430387886,-1.04094821036173,-0.205087755128865,-0.406914193079104,0.375276647478993,0.658355550629493,0.31623701918665,-18.7736383230337,-3.15007595544592,-1.00452078478129,-0.515819640887481,-2.05962401778065,-6.76773207742303,-5.27866920181405,-22.5188075655512,-28.3747947011291,-4.55956230157208,-1.91970452479978,-12.56433789555,-17.320664439225,-24.7994559780249,-30.5736889086537,-29.4505741325286,-30.9815325347373,-32.5932831347169,-32.7079488138204
-7.31388109577185,-3.01416504494299,-2.14721319372279,-1.7757581455765,-3.74655359745532,-3.93239181939494,-3.42199268414614,-2.38403300374823,-1.71659033773325,-4.22969449587585,-6.62992480787288,-2.587962891845,-2.62432667113577,-2.17293881908007,-1.99279828535188,-6.93189419788152,-1.87726920746592,-1.70425263835723,-2.1556385790421,-1.66919802794229,-2.11480336743606,-1.68419864408904,-0.503911310377931,-1.26602215065986,-1.40199618512118,-2.31103436753826,-12.1711130470877,-10.1257880465824,-12.2016276425032,-17.3999298140546,-2.61203513370726,-0.327250901053289,-0.605673119216284,-0.985933429489806,-25.0023039489571,-23.6301107150912,-27.9635806981339,-11.8392178809471,-3.1281920274214,-7.96738995336752,-5.53487664876674,-3.2299995908869,-30.3819999096794,-33.0439311338936,-28.5525236003409,-16.6139425755411,-4.22287550862332,-6.24847938064858,-31.5283006922995,-23.0126494086776,-17.3432991598586,-8.71708599425826
-29.3684772442208,-27.8113422008111,-25.4073805915363,-28.3771252756113,-26.4411163272713,-23.3714787071133,-23.7713495720459,-24.0986737857886,-22.1121112423498,-25.8870239153098,-30.3361256632528,-18.3720229351739,-7.19748481083819,-6.16314203010324,-8.51838355267824,-8.125815657372,-20.5878233015384,-31.3774908941313,-28.4883541953839,-24.6069139117545,-14.0406367001349,-7.67863767418799,-3.12745982934223,-1.08456041019221,-6.92980879932862,-32.2448861860711,-28.4632604739206,-25.2315342964101,-14.9270652646492,-5.13613875583219,-3.34363614089867,-3.0317502124549,-4.88339213209898,-32.5247870835352,-30.1768434371878,-17.1498417005698,-10.3082796262432,-5.45989399376757,-4.54355332540721,-5.12986064474232,-13.1071640499886,-32.0206134034182,-25.7403013287857,-19.9556049617506,-21.713524851584,-17.0814292364219,-24.0801591263204,-32.4455654957279,-29.3614570403288,-29.9130207150882,-31.7910443295347,-31.893386486975
-4.43402540759334,-1.64227680567702,-12.5381371693657,-28.3512090817917,-2.74871118242022,-0.804676465135385,-2.99778593730765,-17.7259659266952,-31.7838983571376,-32.4515585037517,-0.953497078994883,-1.80733176084414,-0.165711232165012,-2.82109313838314,-26.6720174107719,-34.3784262712322,-33.8430771840858,-33.1455081166051,-1.44427712076789,-0.269040590780706,-0.628224524673592,-1.3023651780501,-2.29641198590688,-24.8606415430675,-35.8597341311775,-34.1618544051379,0.0671521680012139,-0.308189816481627,-1.60803101325106,-1.98667037837334,-3.73496900431801,-24.0862116555703,-33.6290888697235,-34.8493626539819,-1.71423803056439,-3.37977589619554,-2.62432482792409,-3.17717751606947,-24.6420512804158,-27.3855984675539,-34.8562502366485,-34.1570239469647,-3.97693681994771,-2.78741534900773,-4.12296298617449,-23.2010775756011,-28.126590336235,-34.7550531656009,-3.50408806444219,-4.60757197461317,-24.1364588003712,-27.1507038075183
-6.0083262110982,-6.59616434841935,-8.48732804400763,-4.96951816293803,-8.0597947310362,-6.85385351930979,-4.97809660814844,-5.48859885664524,-4.46626259767055,-4.4580150354595,-10.0886454135342,-5.16391090592381,-5.34237607574878,-4.76319834760784,-5.12668939870899,-3.79210893336553,-4.30312066694724,-5.77156763625559,-18.6863558147214,-15.5692990670724,-13.6279752640574,-13.3047202709138,-8.3119258860534,-6.43387909428136,-6.57544176389369,-9.72244167996839,-27.6219326242134,-27.6917362571299,-30.6288231290856,-33.2864302805172,-30.7864270736138,-19.5640891977523,-25.9153168341226,-18.0092917891451,-30.8338682671985,-32.6356046384598,-32.0453525261995,-33.9043620086801,-34.0597077231875,-32.7355642915804,-32.0698537204945,-21.8520492026688,-31.5357393380292,-32.1456755459992,-32.8567494132128,-33.1470582651033,-31.5396891424492,-31.3945220846533,-30.5255449191794,-31.1325842481128,-31.5389433049815,-30.775935681774
-0.43111232516204,-0.270549439343394,0.0998393246009659,1.05584737277136,-4.18034593484558,-0.963713754256016,-1.94461400929859,-1.89674353790183,0.167495800673961,0.465736139256989,-4.2669682326549,-4.0128720696537,-4.62553833805269,-14.7521260238503,-24.6894779407849,-10.6585964531344,-0.735642487727248,2.00561307991625,-15.4213344006289,-18.5923545526104,-14.0819927802489,-16.8626036186823,-35.2267032035221,-35.4695540969594,-34.4529987750493,-0.131908514902785,-4.10972853094431,-2.14508014591205,-0.985901867489698,-1.98775176120811,-1.59455619467686,-0.47013287350706,-1.48650999632302,-1.2292333332539,-2.0227915831542,-0.676719143318752,-0.642586546316698,-1.25684742119272,-0.601532694400278,-0.765733049204575,0.420926969390185,-0.251956655957759,0.483211957661556,-0.267436462678076,-0.83597453582206,-0.316500322533508,-0.20886910801718,-1.92242800260202,0.17957464815239,-1.0196374113624,0.319359602441446,0.278195215163941
-29.4468696659005,-28.2209523656768,-3.69412612985527,-2.28457636149004,-31.0748529130665,-30.1943368386204,-29.7709821168267,-4.63431848669299,-1.18679315712059,0.948231410045882,-31.4592013828021,-32.9542819376356,-34.4943512799017,-31.2106338329928,-6.78227966345314,-2.6084560373435,0.121650360393075,0.213751763921771,-30.548762721753,-32.5761512948366,-34.6629047814808,-35.6753533320235,-35.7440349781669,-2.11851490820332,-4.4382405456455,-1.17079715078499,-31.2547114705773,-33.2541919381359,-34.9134593370871,-33.0760169815141,-30.4391677643958,-1.88168148453185,-3.62450856559703,-1.58008602990705,-32.3562199725144,-34.0568112003596,-32.4969400306263,-27.5441850401115,-5.52461384185047,-2.71564843651227,-1.5474858037123,-2.08142707489332,-30.9903010591826,-30.8533382552294,-30.6808329072674,-3.82176172614319,-2.50261418696539,-2.00958153089567,-28.8818544523995,-27.1495866038615,-6.22575712297787,-3.33576321709557
-0.578888628749,-1.27490197364331,-2.68431612441326,-1.94792409565819,-2.61189592685919,-2.28842817178251,-1.25929254939503,-3.18810468497734,-1.34468106395122,-1.98985152694524,-1.80716998143104,-2.50240760759468,-2.41764711738136,-2.11608834933258,-2.4389918314194,-2.46324986033123,1.60782652881637,0.6334004896663,-3.00909610413439,-2.90344858534011,-3.73945925900011,-1.25925555382872,-2.10788487046563,-0.89286755146547,-1.30969606239958,0.703496847941359,-20.3259480174505,-19.1921383660243,-32.158466298483,-33.1683121534202,-23.078173988615,-0.593321839637293,-1.43828877536639,-0.561234562411052,-22.8976188069816,-17.350597159786,-33.3384479809976,-34.2363608168176,-34.2371293128067,-24.7744236081119,-2.09832698187396,-2.1564063456861,-7.32082137519239,-7.86244553323482,-6.88073881544423,-4.37047908436746,-1.08852476844379,-1.69153896184214,-5.76905013507964,-2.19823332654437,-1.63285481281731,-2.13279455786568
-26.2937394508669,12.0930536229668,21.7054699932709,23.792791384473,-33.761050951345,-28.4813559844546,-25.240798500301,11.0393181558556,10.9483158398991,20.5634627322546,20.6888857175332,-26.3327964762321,-22.0641191406762,-19.8991312428736,2.50621263968569,-33.7875264552136,-28.5099786944299,19.4985286047226,22.8480404558889,10.0107356745661,-17.7510645360527,-23.0953617438169,-23.1046042843887,-9.29430300843618,-12.4530604885192,19.4922981870031,22.836937338597,8.93020287409953,-27.3788331785906,-24.1931677362661,-5.04567967277166,-0.818608855546087,3.48342308915716,-24.2052916564612,19.6138089325838,-21.0035146254577,-37.0019202078138,-28.4659785692921,-34.8714585796337,-37.0243627859269,-35.9678163393927,-29.546727598945,-34.8633826709512,-25.2887661795799,3.53785250109908,2.48345828925727,-34.9179025974363,-35.9520416659575,20.6238309039437,19.5598320933575,19.5395970643799,19.5469739996458
